species,bl,cut,rs,rd,ro,le,in,ex,pr,cu,tr,bo,se,Ho,ptI,ptII,tu,en,dis,dsa,len,ngr,ngd,ngsu,hu,ngsn,ngss,ngpa,im,gla,acm,cd,pps,ch,lga,efo,eca,es,gos,gsn,gsp,ag,gad,iadp,iado,an,aos,ad,lcu,cl,clt,fca,rot,rof,roti,d,tap,tIw,tIpl,it,tIIw,pli,rob,rol,gso,pab
Alismobates galapagoensis,1,1,0,2,2,1,2,2,3,0,0,1,4,1,1,0,1,0,1,1,2,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates inexpectatus,1,1,0,2,2,1,2,2,3,0,0,1,4,1,1,1,0,0,1,1,2,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,2,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates keniaensis,1,1,0,2,2,1,3,2,3,0,0,1,4,1,1,0,0,0,2,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Alismobates pseudoreticulatus,1,1,1,2,3,1,1,2,3,0,0,1,4,1,1,0,0,0,2,1,2,0,0,4,0,1,0,0,2,2,0,0,0,0,1,0,0,6,1,1,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,?,1,?,0
Alismobates reticulatus,1,1,0,2,3,1,1,2,3,0,0,1,4,1,1,0,1,0,0,1,2,0,0,4,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Alismobates rotundus,1,1,1,1,3,1,2,?,3,0,0,1,6,1,1,0,1,0,0,1,2,0,0,0,0,1,0,1,2,2,?,?,?,?,?,?,0,0,2,1,1,1,0,2,0,2,0,3,?,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Circellobates venustus,1,1,0,2,1,1,2,0,0,0,0,1,7,1,2,1,1,0,2,1,0,0,0,1,0,1,0,0,2,2,?,?,?,?,1,3,0,0,0,1,1,1,2,2,0,2,0,3,0,1,0,0,1,1,0,0,0,1,1,1,0,3,?,?,?,?
Fortuynia arabica,1,1,0,0,3,2,1,1,0,0,0,1,6,1,1,1,0,0,2,1,2,0,0,0,0,1,0,0,2,2,0,0,0,?,1,0,0,3,2,2,1,1,0,2,0,2,1,3,?,1,0,0,?,1,0,0,0,1,1,1,0,3,?,1,?,0
Fortuynia atlantica,1,1,1,0,3,2,2,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,0,0,1,0,1,0,0,2,1,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia churaumi,1,1,1,1,3,2,1,2,0,0,0,1,5,1,1,0,0,0,1,1,2,0,0,5,0,1,0,1,2,2,0,0,1,0,1,0,0,2,2,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Fortuynia dimorpha,1,1,1,1,3,2,2,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,2,2,2,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Fortuynia elamellata,1,1,0,0,3,2,1,1,0,0,0,1,5,1,1,0,0,0,1,1,2,0,0,0,0,1,0,1,2,2,?,?,?,?,?,0,0,2,1,2,1,1,0,2,0,2,0,3,1,1,0,0,?,1,0,0,0,?,1,?,?,3,?,?,2,0
Fortuynia e micromorpha,1,1,0,1,3,2,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,0,2,2,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia hawaiiensis,1,1,0,1,3,1,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,1,0,1,0,1,2,2,0,0,0,0,1,0,0,2,1,2,1,0,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia inhambanensis,1,1,0,1,3,2,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,?,2,2,?,?,?,?,1,0,0,2,1,2,1,0,0,2,0,2,1,3,1,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fortuynia iranica,1,1,0,1,3,2,1,1,0,0,0,1,5,1,1,0,0,0,2,1,2,0,0,0,0,1,0,1,2,3,?,?,?,?,?,0,0,2,1,2,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,?,1,?,0
Fortuynia longiseta,1,1,1,1,3,2,2,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,2,1,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia maculata,2,1,0,0,3,2,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,2,0,0,?,0,?,0,0,2,2,2,1,1,0,2,0,2,0,3,1,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?
Fortuynia maledivensis,1,1,0,1,3,1,2,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,2,1,2,1,0,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia marina,2,1,0,0,2,2,1,1,0,0,0,1,5,1,1,1,0,0,0,1,?,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,0,2,0,2,1,1,0,2,0,2,1,3,?,1,0,0,1,1,0,0,0,1,1,1,1,?,?,?,?,?
Fortuynia rotunda,2,1,0,0,3,1,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,?,?,?,?,1,0,0,2,2,2,1,1,0,2,0,2,1,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Fortuynia shibai,2,1,1,1,3,2,1,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,2,0,0,1,0,1,0,0,2,1,2,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,2,0
Fortuynia sinensis,1,1,0,1,3,2,0,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,?,1,2,?,?,?,?,?,0,0,2,1,2,1,1,0,2,0,2,1,3,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fortuynia smiti,2,1,0,1,3,2,1,2,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,0,0,1,0,1,0,0,2,1,2,1,1,0,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,?,0
Fortuynia taiwanica,1,1,0,0,3,2,1,1,0,0,0,1,5,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,2,2,0,0,0,?,1,0,0,3,1,2,1,1,0,2,0,2,1,3,?,1,0,0,1,1,0,0,0,1,1,1,1,3,?,1,?,0
Fortuynia yunkeri,1,1,1,0,3,1,1,1,0,0,0,1,5,1,1,1,0,0,0,1,2,0,0,0,0,1,0,0,2,2,0,0,1,?,1,0,0,2,1,2,1,1,0,2,0,2,1,3,1,1,0,0,0,1,0,0,0,1,1,1,1,3,?,?,2,0
Litoribates bonairensis,1,1,1,1,3,1,3,2,3,0,0,5,7,1,1,0,0,0,1,1,2,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Litoribates caelestis,1,1,1,2,3,1,3,2,3,0,0,5,7,1,1,0,0,0,1,1,2,0,0,4,0,1,0,0,1,2,0,0,0,0,1,0,0,0,1,1,1,1,1,2,0,2,0,3,1,1,0,0,1,1,0,0,0,1,1,1,0,3,2,1,1,0
Arotrobates granulatus,1,1,0,2,1,1,2,2,1,0,0,3,4,0,1,1,1,1,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,?,1,0,3,4,0,0,0,0,1,2,0,1,0,3,1,1,0,2,0,0,0,0,0,1,1,1,0,3,?,0,?,0
Arotrobates lanceolatus,1,1,0,2,1,0,1,?,0,0,0,3,2,0,?,1,1,?,2,1,0,0,0,2,0,1,0,0,1,?,?,?,?,?,?,0,3,4,0,0,0,0,1,2,0,1,0,3,?,1,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Carinozetes bermudensis,1,1,0,2,1,1,2,2,0,0,0,4,4,0,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,4,0,0,0,0,1,0,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0
Carinozetes trifoveatus,1,1,0,2,1,1,2,2,0,0,0,2,4,0,2,0,0,0,2,1,0,1,3,1,0,0,0,0,0,1,0,0,0,1,1,1,2,4,1,0,1,0,1,0,1,2,1,3,1,1,1,2,0,0,0,0,0,1,1,0,0,3,1,0,0,0
Indopacifica iohanna,0,1,0,1,1,1,2,2,0,0,0,2,4,0,2,0,0,1,2,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,2,2,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,3,?,0,0,0
Indopacifica mauritiana,0,1,0,1,1,0,2,2,0,0,0,2,4,0,2,0,0,1,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,0,?,0
Indopacifica pantai,1,1,0,1,1,1,2,2,0,0,0,2,4,0,2,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,2,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Indopacifica parva,0,1,0,1,1,1,2,2,0,0,0,2,4,0,2,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Indopacifica taiyo,1,1,0,2,1,1,2,2,1,0,0,2,4,0,2,0,0,1,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,3,1,0,?,0
Indopacifica tyida,1,1,0,2,1,1,2,2,1,0,0,2,4,0,2,0,0,1,2,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,0,?,0
Psednobates uncunguis,1,1,0,2,1,1,2,1,1,0,0,2,2,0,2,1,1,1,2,1,1,1,0,2,0,1,0,0,1,1,?,?,?,?,?,0,0,4,0,3,1,0,2,0,1,0,0,2,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rhizophobates shimojanai,1,1,0,2,1,0,1,2,1,0,0,3,4,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,1,1,0,2,1,3,1,1,1,0,0,0,0,0,0,1,1,0,1,?,?,?,?,?
Schusteria marina,1,1,0,1,1,1,2,2,0,0,0,2,4,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,0,0,1,0,1,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Schusteria littorea,1,1,0,1,2,1,2,2,0,0,0,2,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,0,0,1,0,1,1,1,3,1,1,1,1,1,1,0,0,0,1,1,0,0,3,?,?,0,0
Schusteria melanomerus,0,1,0,0,1,1,2,1,1,0,0,2,4,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,?,1,0,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,0,3,1,0,?,0
Schusteria nagisa,1,1,0,1,0,0,1,?,2,0,0,3,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,1,?,?,?,?,?,1,0,0,4,0,0,0,0,1,0,1,1,1,3,1,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Schusteria saxea,1,1,0,2,0,1,2,1,1,0,0,3,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,?,?,?,?,1,0,0,4,0,0,0,0,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,1,1,?,?,?,?,?,?,?
Schusteria ugraseni,1,1,0,0,1,1,2,1,1,0,0,2,4,0,2,0,0,0,?,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,1,0,2,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,3,?,0,0,0
Selenoribates arotroventer,1,1,0,1,1,1,2,2,0,0,0,3,2,0,2,0,0,1,2,1,0,1,3,1,0,0,2,0,1,1,0,0,0,1,1,2,2,4,1,0,0,0,1,0,1,2,1,2,1,1,2,2,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Selenoribates asmodaeus,0,1,0,1,1,1,2,2,2,0,0,3,2,0,2,0,0,1,2,1,0,1,3,1,1,1,0,0,1,1,0,0,0,1,1,2,0,4,0,0,0,0,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Selenoribates divergens,0,1,1,0,1,1,2,2,0,0,0,3,4,0,2,0,1,1,2,0,1,1,3,1,0,1,2,0,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,1,0,2,1,3,1,1,1,2,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Selenoribates elegans,0,1,0,0,1,1,2,2,0,0,0,3,8,0,2,0,0,1,2,1,0,1,3,2,0,1,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,0,2,1,2,1,1,2,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
