species,bl,cut,rs,rd,ro,le,in,ex,pr,cu,tr,bo,se,Ho,ptI,ptII,tu,en,dis,dsa,len,ngr,ngd,ngsu,hu,ngsn,ngss,ngpa,im,gla,acm,cd,pps,ch,lga,efo,eca,es,gos,gsn,gsp,ag,gad,iadp,iado,an,aos,ad,lcu,cl,clt,fca,rot,rof,roti,d,tap,tIw,tIpl,it,tIIw,pli,rob,rol,gso,pab
Selenoribates foveiventris,0,1,0,0,1,1,2,1,2,0,0,3,8,0,2,0,0,1,2,1,0,1,3,1,0,1,0,0,1,?,0,0,?,1,1,2,0,4,0,0,0,0,1,0,0,2,1,2,1,1,2,0,0,0,0,0,0,1,1,?,0,?,?,?,?,?
Selenoribates mediterraneus,0,1,1,0,1,1,2,2,2,0,0,3,1,0,2,0,0,1,2,1,0,1,3,1,0,1,0,0,1,0,0,0,?,?,1,2,0,4,?,0,0,0,1,0,?,2,?,2,1,1,2,0,0,0,0,0,0,1,1,0,0,3,?,0,?,0
Selenoribates niccus,0,1,1,0,1,1,2,2,0,0,0,3,8,0,2,0,0,1,2,1,0,1,3,1,0,0,2,0,0,0,0,0,0,1,1,2,0,4,0,0,1,0,1,0,2,2,1,2,1,1,2,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Selenoribates quasimodo,0,1,0,1,1,1,2,2,2,0,0,3,8,0,2,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,0,?,0
Selenoribates satanicus,0,1,0,0,1,1,2,2,2,0,0,3,8,0,2,0,1,1,2,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,0,1,0,2,1,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,?,?,?
Thalassozetes balboa,1,1,0,2,1,1,2,2,2,0,0,3,4,0,2,0,0,1,2,1,1,1,3,5,0,1,0,0,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,2,1,2,1,1,2,1,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Thalassozetes barbara,0,1,0,2,1,1,2,2,2,0,0,3,4,0,2,0,0,1,2,1,1,1,3,5,0,1,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,2,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,?,?,?
Thalassozetes canariensis,1,1,0,1,1,1,2,2,2,0,0,3,4,0,2,0,0,1,2,1,1,1,3,6,1,1,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,1,1,0,2,1,3,1,1,1,1,0,0,0,0,0,1,1,0,0,3,?,0,0,0
Thalassozetes riparius,1,1,0,0,1,1,2,2,2,0,0,2,4,0,2,0,0,0,2,1,1,1,0,1,0,2,0,0,0,?,0,0,0,1,0,1,0,4,0,3,0,0,1,1,0,2,1,3,?,1,1,0,0,0,0,0,0,1,1,0,1,3,0,0,?,0
Thalassozetes tenuisetosus,1,1,0,2,2,1,3,1,2,0,0,2,4,0,2,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,?,1,0,0,5,0,0,0,0,1,0,1,2,1,3,?,1,1,0,0,0,0,0,0,1,1,?,?,3,?,0,0,0
Thasecazetes falcidactylus,1,1,1,1,2,1,2,2,1,0,0,3,4,0,2,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,0,0,0,1,1,1,4,1,1,1,0,0,0,0,0,0,1,1,0,0,?,?,?,?,?
Ameronothrus bilineatus,2,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,3,1,1,2,1,0,2,2,3,0,1,0,0,2,2,2,1,0,1,1,2,1,1,0,1,?,1
Ameronothrus lapponicus,3,0,0,0,2,0,0,0,2,0,1,1,5,0,0,0,0,0,?,0,0,0,0,4,0,?,0,0,?,?,?,0,0,?,1,0,0,0,1,1,1,1,2,?,?,2,2,3,0,0,0,0,?,?,?,2,1,1,1,2,?,?,?,?,3,?
Ameronothrus lineatus,2,0,0,1,3,1,0,0,2,0,1,1,5,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,3,1,1,2,1,0,2,2,3,0,0,0,0,2,2,2,0,0,1,1,2,1,1,0,1,3,1
Ameronothrus maculatus,2,0,0,1,2,1,0,0,2,0,1,1,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,1,1,0,1,0,0,0,1,3,1,1,2,1,0,1,2,3,0,0,0,0,2,2,2,1,0,1,0,2,1,1,0,1,3,1
Ameronothrus marinus,3,0,0,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,3,1,1,2,1,?,2,?,3,0,0,0,0,3,2,3,1,0,1,1,2,1,1,0,1,3,1
Ameronothrus nigrofemoratus,2,0,0,2,3,1,0,0,2,0,1,1,5,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,2,2,0,0,1,0,0,0,0,0,?,3,?,1,?,?,?,2,?,3,0,1,0,0,?,?,?,0,?,1,1,2,1,1,0,1,3,1
Ameronothrus schneideri,2,0,0,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,2,0,1,1,0,1,0,0,0,?,3,?,1,?,?,?,1,?,3,0,1,0,0,2,2,2,1,0,1,0,2,1,1,0,1,3,1
Ameronothrus schubarti,2,0,0,0,2,1,0,0,2,0,1,1,5,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,2,2,0,0,1,0,1,0,0,0,1,3,1,1,2,1,0,2,2,3,0,0,0,0,2,2,2,2,0,1,1,2,1,1,0,?,3,?
Ameronothrus schusteri,2,0,0,1,3,1,0,0,2,0,1,1,5,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,0,0,1,?,0,0,0,0,1,3,1,1,2,1,0,2,2,3,0,0,0,0,3,2,2,2,0,1,1,2,1,1,0,?,3,0
Ameronothrus twitter,2,0,0,2,3,1,0,0,2,0,1,1,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,2,0,1,1,0,1,0,0,0,1,3,1,1,2,1,0,2,2,3,0,0,0,0,2,2,2,2,0,1,1,2,1,?,?,?,?,?
Ameronothrus yoichi,2,0,0,2,3,1,0,0,2,0,1,1,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,?,0,1,1,0,1,0,0,0,1,3,1,1,2,1,0,2,2,3,0,0,0,0,2,2,2,1,0,1,0,2,1,1,0,1,?,0
Ameronothrus retweet,3,0,0,1,3,1,0,0,2,0,0,1,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,1,1,0,1,0,0,0,1,3,0,1,2,1,0,2,2,3,0,0,0,0,2,2,2,2,0,1,1,2,1,?,?,?,?,?
Alaskozetes antarcticus,3,0,0,0,3,1,4,2,0,0,0,1,5,0,0,1,0,0,?,1,0,0,0,1,0,1,0,0,2,2,0,0,1,?,0,0,0,1,0,3,0,1,2,0,1,2,2,3,0,0,0,0,0,0,0,?,?,1,1,1,1,4,0,0,3,1
Alaskozetes bouvetoyaensis,3,0,0,0,3,1,4,2,1,0,0,1,5,0,?,?,0,0,?,1,0,0,0,1,0,1,0,0,2,?,?,?,?,?,?,0,0,7,0,3,1,1,2,0,1,2,2,3,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Aquanothrus montanus,2,?,0,0,2,2,3,3,1,0,0,1,8,0,0,0,0,0,?,0,3,0,0,1,0,0,0,0,2,2,1,0,1,0,1,0,0,0,1,3,0,1,2,1,0,1,2,3,?,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,3,0
Paraquanothrus grahami,3,0,0,1,2,1,1,0,0,0,0,1,8,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,3,0,1,2,1,0,2,2,3,0,1,0,0,4,3,0,0,0,1,0,3,0,1,0,1,3,1
Paraquanothrus spooneri,2,0,0,1,2,1,2,1,1,0,0,1,8,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,2,2,1,0,1,0,1,0,0,0,1,3,0,1,2,1,0,2,2,3,0,1,0,0,1,4,0,0,0,1,0,1,0,1,0,1,3,1
Halozetes bathamae,2,0,0,1,2,1,4,2,0,0,0,1,5,0,?,0,0,0,?,1,0,0,0,1,0,0,0,0,2,3,?,?,?,0,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Halozetes belgicae,2,0,0,0,3,1,4,2,2,0,0,1,5,0,1,1,0,0,?,1,0,0,0,2,0,2,0,0,2,3,0,1,1,?,1,0,0,1,0,3,1,1,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,3,1
Halozetes capensis,2,0,0,0,2,1,4,2,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,2,3,0,1,1,0,?,0,0,0,0,3,1,1,2,1,2,2,2,3,0,0,0,0,?,1,0,2,0,1,1,1,1,1,0,?,3,1
Halozetes edwardensis,3,0,0,0,2,1,4,2,1,0,0,1,5,0,1,1,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,4,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Halozetes fulvus,2,0,0,0,2,1,4,2,1,0,0,1,5,0,1,1,0,0,?,0,0,0,0,1,0,0,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,?,?,?,?,?
Halozetes impeditus,2,0,0,0,2,2,4,2,1,0,0,1,5,0,?,?,0,0,?,1,0,0,0,?,0,1,0,0,2,3,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,0,0,0,0,0,0,1,1,1,1,?,?,?,?,?
Halozetes intermedius,2,0,0,1,2,1,4,2,1,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes littoralis,2,0,0,0,2,1,4,2,0,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes maquariensis,3,0,0,0,2,1,4,2,0,0,0,1,5,0,?,?,0,0,?,0,0,0,0,1,0,1,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?
Halozetes marinus,2,0,0,1,2,2,4,2,1,0,0,1,3,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,1,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,0,?,?,?,0,0,1,0,1,0,4,?,?,3,1
Halozetes marionensis,2,0,0,0,2,2,4,2,1,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,3,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,3,0
Halozetes necrophagus,3,0,0,0,2,2,4,2,2,0,0,1,3,0,?,?,0,0,?,1,0,0,0,1,0,0,0,0,2,2,?,?,?,?,1,0,0,3,0,3,1,1,2,1,2,2,2,3,?,?,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes plumosus,2,0,0,0,2,1,4,?,2,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,2,0,0,?,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,?,?,?,?,?,?,?,?,?,?,?,?,4,0,?,?,1
Podacarus auberti,3,0,0,0,2,1,2,2,2,0,0,1,5,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,2,2,1,1,1,0,0,0,0,7,0,3,0,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,4,?,1,3,1
Tegeocranellus alas,1,1,0,0,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,0,0,2,2,0,0,0,3,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus barbarae,2,1,0,0,2,1,2,0,4,1,0,5,3,?,2,0,1,0,2,1,3,0,0,1,1,3,0,0,2,2,0,0,0,0,1,0,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus kethleyi,1,1,0,0,2,1,2,0,4,1,0,5,7,?,2,0,1,0,2,1,3,1,0,1,1,5,0,0,2,2,0,0,0,0,1,0,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus mediolamellatus,1,1,0,0,1,1,2,0,4,1,0,5,7,?,2,0,1,0,2,1,1,0,0,1,1,5,0,0,2,2,0,0,0,0,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus mississippii,0,1,0,1,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,1,0,2,2,0,0,0,3,1,1,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Tegeocranellus muscorum,1,1,0,0,2,1,2,0,4,1,0,5,4,?,2,0,1,0,2,1,3,0,2,1,1,3,0,0,1,2,0,0,0,0,1,2,0,6,2,3,0,1,0,2,0,2,1,3,?,1,0,1,1,1,0,0,0,1,1,1,0,3,?,1,3,1
Cymbaeremaeus cymba,2,1,0,1,2,1,0,1,0,0,0,4,5,0,3,2,0,0,2,1,0,0,0,4,1,2,0,0,1,2,1,0,1,0,1,0,0,0,0,3,0,1,0,1,2,2,2,3,0,0,0,0,3,2,2,0,2,1,0,1,1,1,0,1,3,1
Scutovertex sculptus,2,1,0,0,2,2,0,0,2,1,1,3,4,0,3,2,0,0,2,0,3,0,0,5,0,5,1,0,2,3,0,1,1,0,1,0,0,0,1,3,1,1,2,1,0,2,1,3,0,0,0,1,4,3,0,0,2,1,1,1,1,1,0,1,3,0
Tectocepheus velatus,1,1,0,0,2,2,2,3,2,1,1,2,4,0,3,2,0,0,0,0,0,0,0,2,1,5,0,0,2,3,0,0,1,0,1,0,0,3,1,6,1,1,2,0,2,2,1,3,0,1,0,1,1,1,0,0,2,1,1,1,1,1,0,0,3,0
Collohmannia johnstoni,3,1,0,0,3,2,4,3,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,8,3,4,0,1,0,1,2,3,3,3,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,4,0
